id,location,meanEngProf,meanEngFreq,meanArbProf,meanArbFreq,engReadProf,engReadFreq,arbReadProf,arbReadFreq,hand,experimenter,age,sex,primaryLang,hand2,lang1,lang2,lang3,engComp,arabicComp,radius,angle,cols,col1,pch,engMinusArabic,group2
j1,jesup,2.33333333,2.5,0,0,3,3,0,0,5,Riwa & Rayan,38,Male,English,Right,chinese,english,German,0.679166667,0,0.679166667,0,#3A9AB2,#666666,24,0.679166667,1. English
j2,jesup,4,3.5,3,2,4,4,3,1,5,Riwa ,22,Female,English,Right,English,Arabic,French,0.9625,0.525,1.096371858,28.61045967,#90B9B6,#666666,21,0.4375,1. English
j3,jesup,4,4,2,2.25,4,4,1,1,5,Riwa,35,Female,English,Right,english,french,arabic,1,0.39375,1.074727436,21.49204003,#60ABBC,#666666,21,0.60625,1. English
j4,jesup,4,3,4,1.5,4,3,4,1,5,Riwa,21,Female,English,Right,Arabic,English,,0.85,0.5875,1.033274528,34.65131591,#B2C590,#666666,21,0.2625,2. Bilingual
j5,jesup,4,3.5,4,2.5,4,4,4,2,4.5,Riwa,26,Female,English,Right,Arabic,English,French,0.9625,0.7375,1.212564431,37.46055486,#B9C785,#666666,21,0.225,2. Bilingual
j6,jesup,4,4,4,4,4,4,4,4,5,Rayan,21,Female,English,Right,Arabic ,English,,1,1,1.414213562,45,#E3B40F,#666666,21,0,2. Bilingual
j7,jesup,4,2.75,3.33333333,2,4,3,3,0,4.5,Riwa,23,Female,English,Right,English,Arabic,French,0.83125,0.466666667,0.953286075,29.31000706,#95BBB1,#666666,21,0.364583334,1. English
j8,jesup,4,3.25,3.33333333,3,4,3,3,3,5,Riwa & Rayan,19,Female,English,Right,english,arabic,french,0.86875,0.766666667,1.158664895,41.42820966,#DDC63F,#666666,21,0.102083334,2. Bilingual
j9,jesup,3,2.75,2,2,3,3,2,1,5,Riwa,23,Female,English,Right,English,Arabic,French,0.73125,0.425,0.845784584,30.16500781,#9ABDAC,#666666,21,0.30625,1. English
j10,jesup,4,4,2,2,4,4,1,1,5,Riwa & Rayan,21,Female,English,Right,English,Arabic,Spanish,1,0.375,1.068000468,20.55604522,#5AA8BB,#666666,21,0.625,1. English
j11,jesup,4,3.75,1.66666667,1.25,4,4,1,1,5,Rayan,21,Male,English,Right,French,English,Arabic,0.98125,0.302083334,1.026696597,17.11127676,#50A4B8,#666666,21,0.679166667,1. English
j13,jesup,1,1.5,4,4,1,2,4,4,5,Rayan,33,Male,Arabic,Right,arabic,francais,english,0.3625,1,1.06367582,70.07441934,#F03101,#666666,21,-0.6375,3. Arabic
j14,jesup,4,3.75,2,1.75,4,4,2,1,4.5,Rayan,23,Male,English,Right,English,Spanish,Arabic,0.98125,0.40625,1.062021951,22.49017803,#68AFBF,#666666,21,0.575,1. English
j15,jesup,3,3,3.66666667,2.75,3,3,4,2,5,Rayan,19,Female,English,Right,Arabic,English,Japanese,0.75,0.739583334,1.05332023,44.59933675,#E3B60F,#666666,21,0.010416666,2. Bilingual
j16,jesup,4,3,4,3,4,3,4,3,3,Riwa,19,Female,English,Right,Arabic,English,,0.85,0.85,1.202081528,45,#E3B40F,#666666,21,0,2. Bilingual
j17,jesup,4,3.5,3,1.25,4,4,2,1,4.75,Riwa,23,Female,English,Right,English,Arabic,French,0.9625,0.41875,1.049646518,23.51216866,#71B2C0,#666666,21,0.54375,1. English
j20,jesup,4,3.5,4,2.5,4,4,4,2,5,Riwa,19,Female,English,Right,arabic,english,,0.9625,0.7375,1.212564431,37.46055486,#B9C785,#666666,21,0.225,2. Bilingual
j21,jesup,4,3,3.66666667,1.75,4,4,4,1,5,Riwa,18,Female,English,Right,English,Arabic,Korean,0.925,0.589583334,1.096920009,32.51292265,#A3C1A4,#666666,21,0.335416667,1. English
j22,jesup,4,4,2,1.5,4,4,2,1,4.5,Riwa,24,Female,English,Right,English,Arabic,French,1,0.3875,1.072453379,21.1813495,#5EAABC,#666666,21,0.6125,1. English
j23,jesup,4,2.5,4,2.5,4,3,4,2,4.75,Riwa,18,Female,English,Right,English,Arabic,French,0.8125,0.7375,1.097297817,42.2297842,#DEC336,#666666,21,0.075,2. Bilingual
j24,jesup,4,3.5,3.66666667,2.25,4,4,4,2,5,Rayan,43,Female,English,Right,English,Arabic,French,0.9625,0.702083334,1.191355219,36.10840362,#B5C68B,#666666,21,0.260416667,2. Bilingual
j25,jesup,3.66666667,2.25,4,4,4,3,4,4,5,Riwa,21,Male,English,Right,arabic ,english ,german,0.777083334,1,1.266435355,52.14981613,#E79205,#666666,21,-0.222916667,3. Arabic
j26,jesup,4,1.25,3.66666667,1.25,4,1,4,1,5,Rayan ,22,Male,English,Right,Italian,French,English,0.56875,0.552083334,0.792636468,44.14808094,#E2B917,#666666,21,0.016666666,2. Bilingual
j27,jesup,4,4,4,4,4,4,4,4,5,Riwa,23,Male,English,Right,English,Arabic,,1,1,1.414213562,45,#E3B40F,#666666,21,0,2. Bilingual
j28,jesup,2.66666667,3,1.66666667,2,3,3,1,1,5,Riwa,20,Female,English,Right,english,french,arabic,0.733333334,0.358333334,0.816198846,26.0418166,#83B6BA,#666666,21,0.375,1. English
j29,jesup,4,2.5,3.33333333,2,4,3,3,1,4.75,Riwa,21,Male,English,Right,Arabic,English,French,0.8125,0.541666667,0.97650347,33.69006752,#AAC39A,#666666,21,0.270833334,1. English
j30,jesup,3.33333333,2.5,3.33333333,1.75,4,3,3,1,4.75,Riwa,24,Female,English,Right,Arabic,English,French,0.779166667,0.522916667,0.938372279,33.86647023,#ACC398,#666666,21,0.25625,1. English
j31,jesup,4,3,4,2,4,3,4,2,4.5,Riwa,22,Female,English,Right,english,arabic,french,0.85,0.7,1.101135777,39.47245985,#CCC967,#666666,21,0.15,2. Bilingual
j33,jesup,3.66666667,3,3,2,4,4,3,1,5,Riwa,18,Male,English,Right,English,French,Arabic,0.908333334,0.525,1.049139859,30.02712423,#99BDAE,#666666,21,0.383333334,1. English
j34,jesup,4,2.75,3.66666667,2.5,4,3,4,2,5,Riwa,22,Female,English,Right,arabic,english,french,0.83125,0.720833334,1.100262358,40.93078,#DCCB4E,#666666,21,0.110416667,2. Bilingual
j35,jesup,4,4,4,4,4,4,4,4,5,Riwa,20,Female,Arabic,Right,اللغة الإنجليزيّة,اللغة العربيّة,اللغة الفرنسيّة,1,1,1.414213562,45,#E3B40F,#666666,21,0,2. Bilingual
j36,jesup,4,2.5,4,2,4,3,4,1,5,Rayan,23,Female,English,Right,Arabic,English,French ,0.8125,0.625,1.025076217,37.56859203,#BCC782,#666666,21,0.1875,2. Bilingual
j37,jesup,3.66666667,2,3.66666667,2.25,4,2,4,2,5,Rayan ,18,Male,English,Right,french,arabic,english,0.683333334,0.702083334,0.979727233,45.77538426,#E3B00D,#666666,21,-0.01875,2. Bilingual
j38,jesup,3.33333333,4,3,3.25,3,4,3,4,5,Rayan,19,Female,English,Right,arabic,english,french,0.916666667,0.84375,1.245869913,42.62815782,#DFC02C,#666666,21,0.072916667,2. Bilingual
j39,jesup,4,2.5,3,1.25,4,2,3,1,4.75,Rayan,19,Female,English,Right,English,Arabic,,0.7375,0.46875,0.873860866,32.4397629,#A2C0A5,#666666,21,0.26875,1. English
j40,jesup,4,2.75,4,2.25,4,3,4,2,5,Riwa & Rayan,29,Female,English,Right,Arabic,English,French,0.83125,0.71875,1.098898596,40.84871473,#D8CA53,#666666,21,0.1125,2. Bilingual
j42,jesup,4,4,4,4,4,4,4,4,4.25,Rayan & Riwa,24,Male,English,Right,English,French,Arabic,1,1,1.414213562,45,#E3B40F,#666666,21,0,2. Bilingual
j43,jesup,4,2.5,4,2.5,4,3,4,2,5,Riwa,22,Female,English,Right,English,Arabic,French,0.8125,0.7375,1.097297817,42.2297842,#DEC336,#666666,21,0.075,2. Bilingual
j44,jesup,3.33333333,4,3.66666667,4,4,4,4,4,5,Riwa,27,Female,Arabic,Right,الأوكرانية,الانكليزية,العربية,0.966666667,0.983333334,1.378908586,45.4896956,#E3B30E,#666666,21,-0.016666667,2. Bilingual
j46,jesup,1.33333333,0.75,4,3.75,2,0,4,4,3,Rayan ,53,Male,Arabic ,Left,العربية,الفرنسية,الانجليزية,0.222916667,0.98125,1.006252157,77.20099188,#F01F00,#666666,21,-0.758333334,3. Arabic
j47,jesup,0,0,4,4,0,0,4,4,5,Riwa & Rayan,61,Male,Arabic,Right,العربية,,,0,1,1,90,#F11B00,#666666,21,-1,3. Arabic
j49,jesup,2.66666667,1,3,3.75,3,1,3,4,5,Riwa,40,Female,Arabic,Right,العربية ,الانكليزية ,,0.433333334,0.88125,0.982028177,63.81546547,#EE5A03,#666666,21,-0.447916667,3. Arabic
j50,jesup,2.33333333,1,4,4,3,1,4,4,5,Riwa,59,Male,Arabic,Right,العربية,الفرنسية,الانكليزية,0.416666667,1,1.083333333,67.38013506,#EF4101,#666666,21,-0.583333334,3. Arabic
j51,jesup,2.66666667,2,4,4,3,3,4,4,5,Rayan ,40,Female,Arabic,Right,العربيّة ,الانكليزيّة,الفرنسيّة,0.658333334,1,1.197248002,56.6417576,#EB7B05,#666666,21,-0.341666667,3. Arabic
j52,jesup,3.66666667,2,4,3.5,4,2,4,4,4.75,Riwa,53,Female,Arabic,Right,العربية,الفرنسية,الانكليزية,0.683333334,0.9625,1.180402768,54.62689723,#EA8305,#666666,21,-0.279166667,3. Arabic
j54,jesup,2,2.25,4,4,2,2,4,4,4.5,Rayan,30,Male,Arabic,Right,عربية,انكليزية,,0.51875,1,1.126544079,62.58197294,#EE5E03,#666666,21,-0.48125,3. Arabic
j55,jesup,4,3.5,4,2.75,4,4,4,3,5,Rayan ,22,Female,English,Right,arabic,english,turkish,0.9625,0.83125,1.271763662,40.81508387,#D7CA55,#666666,21,0.13125,2. Bilingual
j56,jesup,2.66666667,3,2.66666667,1.5,3,3,3,1,5,Rayan ,18,Female,English,Right,English,Arabic,,0.733333334,0.470833334,0.871471059,32.70230713,#A5C2A2,#666666,21,0.2625,1. English
j57,jesup,2.33333333,0.75,4,3.75,3,0,4,4,4.5,Rayan,20,Male,Arabic,Right,arabic,english,french,0.322916667,0.98125,1.033018265,71.78429417,#F02400,#666666,21,-0.658333334,3. Arabic
j58,jesup,4,2.75,3,2.5,4,3,3,3,5,Rayan ,22,Male,English,Right,English,Arabic,French,0.83125,0.7125,1.094820904,40.60129465,#D6CA57,#666666,21,0.11875,2. Bilingual
j59,jesup,4,3.5,2.66666667,1.25,4,4,3,1,5,Rayan,21,Female,English,Right,english,arabic,french,0.9625,0.452083334,1.063384028,25.15930192,#7FB5BB,#666666,21,0.510416667,1. English
j60,jesup,4,4,2.33333333,2.5,4,4,2,1,5,Rayan,20,Female,English,Right,English,French,Arabic,1,0.479166667,1.108873615,25.60218754,#80B6BB,#666666,21,0.520833334,1. English
j61,jesup,3,3,1.33333333,1.75,3,3,1,1,4.75,Rayan,23,Male,English,Right,English,Arabic,French,0.75,0.322916667,0.816563025,23.29456324,#6EB1C0,#666666,21,0.427083334,1. English
j62,jesup,2.33333333,1,4,4,3,0,4,4,5,Rayan,44,Female,Arabic,Right,عربي,فرنسي,انكليزي,0.341666667,1,1.056757357,71.13641245,#F02B00,#666666,21,-0.658333334,3. Arabic
j63,jesup,2,2,3.33333333,3,2,2,3,3,5,Rayan,42,Male,Arabic,Right,arabic,english,,0.5,0.766666667,0.915302014,56.88865803,#EB7A05,#666666,21,-0.266666667,3. Arabic
j64,jesup,1,1.75,4,4,1,2,4,4,5,Rayan + Lynn ,51,Male,Arabic,Right,arabic,french,english,0.38125,1,1.07021099,69.13065221,#F03801,#666666,21,-0.61875,3. Arabic
j65,jesup,1.66666667,1,4,4,2,1,4,4,5,Rayan + Sabine + Ibrahim ,43,Male,Arabic,Right,arabic,englich,v dotsh,0.333333334,1,1.054092553,71.56505117,#F02600,#666666,21,-0.666666667,3. Arabic
j66,jesup,2.66666667,2.75,4,3.25,3,4,4,4,5,Rayan,40,Male,Arabic,Right,arabic,anglais,francais,0.789583334,0.94375,1.230490107,50.08264452,#E69805,#666666,21,-0.154166667,3. Arabic
j67,jesup,3,2,4,3.75,4,2,4,3,5,Rayan,29,Male,Arabic,Right,العربية,الانجليزية,,0.65,0.90625,1.115252914,54.35034363,#EA8405,#666666,21,-0.25625,3. Arabic
j68,jesup,2,1.75,3.66666667,4,2,2,4,4,3,Rayan,39,Male,Arabic,Right,arabic,english,,0.48125,0.983333334,1.09478126,63.92256071,#EE5803,#666666,21,-0.502083334,3. Arabic
j69,jesup,3,1.25,4,3,4,2,4,3,5,Rayan,46,Male,Arabic,Right,عربي,فرنسي,انجليزي,0.59375,0.85,1.036840905,55.06456821,#EA8105,#666666,21,-0.25625,3. Arabic
j70,jesup,4,2,4,4,4,2,4,4,5,Rayan,43,Male,Arabic,Right,عربي,انجليزي,,0.7,1,1.220655562,55.0079798,#EA8205,#666666,21,-0.3,3. Arabic
j71,jesup,3,1.25,4,3.25,4,1,4,3,5,Rayan,35,Male,Arabic,Right,arabic,french,english,0.51875,0.86875,1.011843923,59.15763265,#EC6E04,#666666,21,-0.35,3. Arabic
j72,jesup,2,1.25,4,4,2,1,4,4,5,Rayan,45,Male,Arabic,Right,arabic,english,,0.36875,1,1.065822013,69.75854753,#F03401,#666666,21,-0.63125,3. Arabic
j74,jesup,1.33333333,1,3.33333333,4,2,1,3,4,5,Rayan + Ibrahim ,48,Male,Arabic,Right,arabic,english,,0.316666667,0.916666667,0.969822435,70.9422955,#F02D00,#666666,21,-0.6,3. Arabic
j76,jesup,2,1.25,4,4,3,1,4,4,5,Ibrahim,37,Male,Arabic,Right,arabic,english,,0.41875,1,1.084136321,67.27850185,#EF4402,#666666,21,-0.58125,3. Arabic
j77,jesup,3,1.75,4,3,4,2,4,3,5,Rayan & Sabine ,35,Male,Arabic,Right,arabic,english,french,0.63125,0.85,1.058761806,53.40068254,#E88D05,#666666,21,-0.21875,3. Arabic
j78,jesup,2.66666667,1.75,4,4,3,2,4,4,5,Sabine,50,Male,Arabic,Right,Arabic,English,,0.564583334,1,1.148370298,60.55165136,#ED6A04,#666666,21,-0.435416667,3. Arabic
j80,jesup,2,1.5,3,3,3,2,3,3,3.5,Sabine,48,Male,Arabic,Right,Arabic,French,English,0.5125,0.75,0.908381115,55.6539026,#EB7F05,#666666,21,-0.2375,3. Arabic
j81,jesup,2,1,4,4,3,1,4,4,5,Sabine,45,Male,Arabic,Right,arabic,en,fr,0.4,1,1.077032961,68.19859051,#EF3B01,#666666,21,-0.6,3. Arabic
j82,jesup,3,2,4,3.5,3,2,4,4,5,Rayan ,49,Male,Arabic,Right,arabic,english,,0.6,0.9625,1.134198506,58.06155108,#EC7604,#666666,21,-0.3625,3. Arabic
j83,jesup,2.66666667,2.25,3.66666667,2.5,3,3,4,2,5,Rayan ,35,Male,Arabic,Right,arabic,english,french,0.677083334,0.720833334,0.98896033,46.7925764,#E5A509,#666666,21,-0.04375,3. Arabic
j85,jesup,2.66666667,1.25,4,4,3,1,4,4,5,Rayan ,38,Male,Arabic,Right,arabic,english,,0.452083334,1,1.097442181,65.67306707,#EF4D02,#666666,21,-0.547916667,3. Arabic
j86,jesup,3.33333333,2,3.66666667,3.75,3,2,4,4,5,Rayan ,41,Male,Arabic,Right,arabic,english,french,0.616666667,0.964583334,1.144857539,57.4088586,#EC7904,#666666,21,-0.347916667,3. Arabic
j87,jesup,4,2.25,4,4,4,2,4,4,5,Rayan,34,Female,Arabic,Right,arabic,french,english,0.71875,1,1.231503781,54.2933086,#E98705,#666666,21,-0.28125,3. Arabic
j88,jesup,2,1.25,4,3.5,2,1,4,3,5,Rayan ,40,Female,Arabic,Right,arabic,english,,0.36875,0.8875,0.961058173,67.43745947,#EF3F01,#666666,21,-0.51875,3. Arabic
j90,jesup,2.33333333,2.25,4,3,3,3,4,3,4.5,Rayan ,33,Male,Arabic,Right,arabic,english,,0.660416667,0.85,1.076406138,52.15419431,#E89105,#666666,21,-0.189583334,3. Arabic
j91,jesup,2,1.75,4,4,2,2,4,4,5,Rayan ,47,Male,Arabic,Right,arabic,english,french,0.48125,1,1.109775456,64.30081408,#EF5402,#666666,21,-0.51875,3. Arabic
j92,jesup,2.33333333,1.25,4,3.5,3,2,4,4,5,Rayan,30,Male,Arabic,Right,arabic,english,,0.510416667,0.9625,1.089463824,62.06285718,#EE6103,#666666,21,-0.452083334,3. Arabic
j93,jesup,4,2,4,2.25,4,3,4,2,5,Rayan,25,Male,Arabic,Right,arabic,english,,0.775,0.71875,1.056989386,42.84343733,#E0BE28,#666666,21,0.05625,2. Bilingual
j94,jesup,1.66666667,1,4,3.75,2,1,4,4,5,Rayan,52,Male,Arabic,Right,arabic,german,english,0.333333334,0.98125,1.036321704,71.23723401,#F02800,#666666,21,-0.647916667,3. Arabic
j96,jesup,2,2,3.66666667,4,2,2,4,4,5,Rayan,38,Male,Arabic,Right,arabic,english,,0.5,0.983333334,1.10315205,63.04782107,#EE5D03,#666666,21,-0.483333334,3. Arabic
j97,jesup,2.66666667,1.5,4,3.25,3,1,4,3,5,Sabine,36,Male,Arabic ,Right,arabic,english,,0.470833334,0.86875,0.988134905,61.54379411,#ED6503,#666666,21,-0.397916667,3. Arabic
j98,jesup,2.33333333,2.25,4,4,2,2,4,4,5,Sabine,49,Male,Arabic,Right,arabic,rassion,english,0.535416667,1,1.134315215,61.83466131,#ED6403,#666666,21,-0.464583334,3. Arabic
j99,jesup,1,1.25,4,3,1,1,4,3,5,Sabine,40,Male,Arabic,Right,arabic,english,french,0.26875,0.85,0.891474376,72.45427125,#F02100,#666666,21,-0.58125,3. Arabic
